Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx.2.5,BbAv.2.5,BbMx.2.5.1,BbAv.2.5.1,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
F1,12/08/17,Bordeaux,Metz,2,0,H,1,0,H,12,6,5,1,17,10,5,1,1,2,0,0,1.44,4.2,8.5,1.45,4.4,7.5,1.5,3.9,6.3,1.44,4.33,7,1.46,4.6,8.15,1.5,4,7,1.45,4.4,8,40,1.5,1.45,4.6,4.36,8.5,7.21,39,1.75,1.7,2.21,2.13,17,-1.25,2.07,2.02,1.88,1.84,1.44,5.05,7.76
F1,12/08/17,Caen,St Etienne,0,1,A,0,0,D,10,6,4,4,12,15,8,2,1,1,0,0,3,3.1,2.5,2.85,3.2,2.6,2.8,3.1,2.5,2.9,3,2.55,3.08,3.08,2.66,2.9,3,2.62,3,3.1,2.63,39,3.1,2.92,3.2,3.05,2.66,2.58,36,2.57,2.42,1.61,1.54,17,0,2.11,2.04,1.88,1.82,3.01,3.24,2.64
F1,12/08/17,Nantes,Marseille,0,1,A,0,0,D,14,13,3,10,13,12,6,9,1,3,0,0,3.5,3.4,2.15,3.6,3.4,2.1,3.45,3.15,2.1,3.3,3.3,2.2,3.46,3.43,2.25,3.3,3.3,2.2,3.5,3.4,2.15,39,3.7,3.37,3.44,3.33,2.25,2.17,39,2.11,2.02,1.86,1.79,17,0.25,2.02,1.96,1.94,1.89,3.17,3.3,2.49
F1,12/08/17,Toulouse,Montpellier,1,0,H,1,0,H,8,14,4,1,25,12,5,3,4,3,0,0,2.2,3.2,3.5,2.2,3.25,3.5,2.1,3.15,3.45,2.25,3.1,3.3,2.28,3.13,3.74,2.3,3.1,3.3,2.25,3.2,3.5,39,2.38,2.25,3.25,3.12,3.74,3.42,38,2.29,2.22,1.7,1.65,17,-0.25,1.96,1.91,1.98,1.94,2.38,3.19,3.5
F1,13/08/17,Dijon,Monaco,1,4,A,1,3,A,15,16,3,6,10,12,6,10,0,2,0,0,7,4.2,1.5,6.5,4.33,1.5,5.6,3.6,1.6,5.75,4.2,1.53,6.62,4.4,1.55,6.5,4,1.53,6.25,4.33,1.53,39,7.1,6.04,4.5,4.22,1.6,1.53,36,1.65,1.6,2.43,2.3,18,1,2.01,1.97,1.93,1.89,7.05,4.67,1.51
F1,13/08/17,Guingamp,Paris SG,0,3,A,0,0,D,4,21,0,8,9,13,4,6,2,2,0,0,15,6,1.22,12,5.75,1.26,10.3,5.5,1.25,11,5.5,1.28,12.75,6,1.28,12,5.5,1.25,13,6,1.25,39,15,11.53,6.5,5.7,1.3,1.26,36,1.6,1.54,2.51,2.43,17,1.75,1.9,1.85,2.08,2.01,14.55,6.55,1.25
F1,13/08/17,Strasbourg,Lille,3,0,H,0,0,D,22,12,9,2,8,13,7,5,1,2,0,1,3.75,3.3,2.1,3.6,3.25,2.15,3.3,3.1,2.2,3.6,3.2,2.15,3.65,3.44,2.17,3.5,3.3,2.1,3.7,3.3,2.15,39,3.8,3.52,3.44,3.3,2.2,2.12,39,2.2,2.08,1.8,1.74,17,0.25,2.08,2.03,1.87,1.83,3.7,3.59,2.12
F1,18/08/17,Metz,Monaco,0,1,A,0,0,D,9,22,5,5,17,16,6,6,2,1,0,0,10,5,1.3,9.5,5.25,1.33,7.9,4.7,1.35,9.5,5.2,1.3,10.3,5.93,1.33,9,5,1.33,9.5,5.5,1.33,36,10.3,9.06,5.93,5.4,1.35,1.32,28,1.49,1.45,2.84,2.7,17,1.5,2.01,1.97,1.95,1.89,9.21,5.73,1.36
F1,19/08/17,Lyon,Bordeaux,3,3,D,2,1,H,8,16,5,6,20,16,0,8,2,2,1,0,1.57,4.33,5.5,1.6,4,5.75,1.6,3.6,5.6,1.61,4,5,1.67,4.25,5.27,1.67,3.6,5.5,1.6,4.33,5.4,36,1.67,1.62,4.33,4.03,5.75,5.15,31,1.62,1.57,2.48,2.37,17,-1,2.1,2.04,1.87,1.82,1.68,4.2,5.31
F1,19/08/17,Montpellier,Strasbourg,1,1,D,0,1,A,16,7,5,1,6,18,9,2,2,3,0,0,1.85,3.5,4.5,1.87,3.5,4.33,1.7,3.5,4.85,1.8,3.6,4.25,1.86,3.74,4.51,1.85,3.5,4.33,1.85,3.6,4.5,36,1.88,1.83,3.75,3.54,4.85,4.35,35,1.95,1.86,2.02,1.94,15,-0.5,1.87,1.84,2.07,2.03,2.03,3.36,4.33
F1,19/08/17,Nice,Guingamp,2,0,H,1,0,H,14,13,8,1,12,15,4,5,2,2,0,0,2,3.3,4,1.95,3.3,4.25,1.9,3.35,3.9,2,3.4,3.8,2.07,3.22,4.3,1.95,3.25,4.2,2.05,3.4,3.9,36,2.08,2,3.45,3.27,4.55,3.97,35,2.07,2,1.88,1.81,17,-0.5,2.08,2.02,1.95,1.85,1.86,3.64,4.82
F1,19/08/17,Rennes,Dijon,2,2,D,1,0,H,14,12,7,4,9,13,7,0,2,4,0,0,1.6,3.9,6,1.62,3.8,6,1.6,3.6,5.6,1.61,3.75,5.75,1.61,4.04,6.41,1.62,3.6,6,1.62,3.9,6,36,1.65,1.61,4.15,3.81,6.41,5.74,35,2.04,1.94,1.94,1.86,16,-1,2.17,2.11,1.8,1.77,1.78,3.83,5.11
F1,19/08/17,St Etienne,Amiens,3,0,H,2,0,H,13,16,5,1,11,12,3,11,2,2,0,0,1.53,4,7,1.5,3.9,7.75,1.5,3.9,6.3,1.53,3.75,7,1.57,4.01,7.16,1.57,3.6,7,1.55,4,7,36,1.57,1.54,4.1,3.82,7.75,6.76,34,2.21,2.13,1.78,1.7,17,-1,2.03,1.97,1.91,1.88,1.62,3.76,7.36
F1,19/08/17,Troyes,Nantes,0,1,A,0,0,D,8,11,1,4,7,8,2,10,1,0,0,1,2.5,3.1,3.1,2.55,3.2,2.9,2.65,3.1,2.65,2.55,3.1,2.9,2.6,3.23,3.02,2.7,3,2.8,2.55,3.2,3,36,2.7,2.54,3.23,3.15,3.1,2.9,31,2.35,2.26,1.66,1.63,18,0,1.84,1.81,2.11,2.06,2.61,3.25,3.04
F1,20/08/17,Lille,Caen,0,2,A,0,1,A,15,11,4,3,9,12,5,3,2,2,0,0,1.6,3.8,6,1.62,4,5.5,1.65,3.5,5.3,1.67,3.8,5.2,1.66,4,5.79,1.67,3.6,5.5,1.67,3.8,5.75,36,1.7,1.65,4,3.79,6,5.34,35,1.91,1.82,2.06,1.98,16,-0.75,1.85,1.82,2.09,2.05,1.76,3.89,5.16
F1,20/08/17,Marseille,Angers,1,1,D,1,0,H,12,11,2,4,20,7,11,2,3,2,1,0,1.6,3.9,5.75,1.62,3.9,5.75,1.5,3.9,6.3,1.6,3.8,5.25,1.62,4.07,6.21,1.62,3.8,5.5,1.62,4,5.75,35,1.67,1.61,4.07,3.85,6.3,5.57,34,1.92,1.82,2.05,1.98,16,-0.75,1.84,1.79,2.13,2.08,1.67,3.77,6.45
F1,20/08/17,Paris SG,Toulouse,6,2,H,2,1,H,24,7,15,1,8,19,7,1,0,4,1,0,1.08,11,34,1.09,10.5,29,1.12,8,16,1.08,11,41,1.1,12.65,27.99,1.1,8,34,1.06,11,29,36,1.12,1.08,12.65,10.4,41,28.07,26,1.33,1.32,3.5,3.31,15,-2.75,2.04,1.97,1.94,1.89,1.1,12.2,39.17
