Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx.2.5,BbAv.2.5,BbMx.2.5.1,BbAv.2.5.1,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
P1,06/08/17,Aves,Sp Lisbon,0,2,A,0,1,A,9,4.2,1.4,7.5,4.5,1.4,7,4,1.45,8,4.2,1.4,9.37,4.7,1.42,7,3.8,1.44,9,4.4,1.4,37,9.37,7.89,4.7,4.28,1.45,1.41,37,2.05,1.95,1.9,1.83,16,1.25,1.92,1.86,2.04,1.99,7.54,4.6,1.48
P1,06/08/17,Setubal,Moreirense,1,1,D,1,0,H,2.5,3,3,2.45,3,3,2.5,3.1,2.8,2.37,2.87,3.1,2.48,3.12,3.32,2.5,2.88,3,2.5,3,3.13,33,2.5,2.43,3.12,2.98,3.32,3.05,30,2.72,2.55,1.51,1.48,11,-0.25,2.12,2.07,1.84,1.79,2.23,3.2,3.81
P1,07/08/17,Feirense,Tondela,1,1,D,0,1,A,2.2,3.2,3.4,2,3.25,3.8,2.3,3.1,3.1,2.2,3,3.3,2.32,3.29,3.45,2.2,3.1,3.3,2.25,3.2,3.4,39,2.32,2.22,3.29,3.11,3.8,3.34,34,2.5,2.35,1.63,1.56,16,-0.25,1.99,1.94,1.95,1.9,2.35,3.02,3.72
P1,07/08/17,Portimonense,Boavista,2,1,H,0,1,A,2.4,2.9,3.25,2.4,3,3.1,2.5,3.1,2.8,2.4,2.9,3.1,2.5,3.13,3.28,2.38,2.9,3.2,2.45,3,3.2,38,2.5,2.42,3.13,2.98,3.28,3.09,33,2.7,2.57,1.51,1.47,15,-0.25,2.13,2.08,1.83,1.78,2.61,2.98,3.26
P1,07/08/17,Rio Ave,Belenenses,1,0,H,1,0,H,1.91,3.4,4,1.87,3.3,4.4,1.85,3.4,4.1,1.87,3.2,4.33,1.88,3.45,4.87,1.91,3.1,4.33,1.87,3.4,4.5,38,2,1.89,3.45,3.25,4.87,4.32,33,2.42,2.31,1.61,1.57,16,-0.5,1.93,1.88,2.02,1.96,1.81,3.49,5.25
P1,08/08/17,Maritimo,Pacos Ferreira,1,0,H,0,0,D,2,3.2,4,1.9,3.4,4,1.95,3.25,3.85,1.95,3.1,3.9,2.01,3.31,4.45,1.95,3.2,4,2,3.25,4.2,37,2.05,1.98,3.4,3.21,4.45,3.96,33,2.43,2.3,1.63,1.57,14,-0.5,2.02,1.98,1.92,1.86,2.08,3.32,4.11
P1,09/08/17,Benfica,Sp Braga,3,1,H,2,1,H,1.36,4.75,8.5,1.28,5.25,9.75,1.35,4.7,7.9,1.33,4.6,9.5,1.35,5.11,10.92,1.33,4.6,9,1.33,5,10,37,1.37,1.33,5.25,4.81,10.97,9.36,35,1.81,1.73,2.15,2.05,15,-1.5,2.07,2.01,1.87,1.83,1.39,5.09,9.33
P1,09/08/17,Porto,Estoril,4,0,H,1,0,H,1.18,6.5,15,1.18,6.5,14.5,1.2,4.8,13,1.18,6,17,1.21,7.04,18.39,1.18,6,15,1.18,6.5,19,37,1.23,1.18,7.04,6.39,19.05,15.37,31,1.62,1.58,2.43,2.3,13,-2,2.09,2.02,1.9,1.82,1.17,8.25,21
P1,10/08/17,Guimaraes,Chaves,3,2,H,2,0,H,1.65,3.6,5.5,1.62,3.8,5.25,1.7,3.5,4.85,1.61,3.5,5.25,1.65,3.78,6.47,1.62,3.6,5.5,1.67,3.6,5.75,37,1.7,1.63,3.8,3.58,6.47,5.59,35,2.2,2.08,1.78,1.71,12,-0.75,1.92,1.85,2.04,1.97,2.13,3.44,3.77
P1,11/08/17,Sp Lisbon,Setubal,1,0,H,0,0,D,1.2,6.5,13,1.2,6.25,13,1.2,5.8,13,1.2,5.8,15,1.22,6.99,16,1.22,5.5,13,1.22,6.25,13,40,1.23,1.21,6.99,6.08,18.57,13.92,35,1.66,1.61,2.39,2.27,17,-1.75,1.95,1.91,1.99,1.95,1.24,6.52,15.05
