country,last_update,url,league_code,season_code,file_code,file_name
England,04/03/19,http://www.football-data.co.uk/mmz4281/1011/E2.csv,E2,1011,E2_1011,C:/R Projects/football-data/raw_data/E2_1011.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/1011/E3.csv,E3,1011,E3_1011,C:/R Projects/football-data/raw_data/E3_1011.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/1011/EC.csv,EC,1011,EC_1011,C:/R Projects/football-data/raw_data/EC_1011.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0910/E0.csv,E0,0910,E0_0910,C:/R Projects/football-data/raw_data/E0_0910.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0910/E1.csv,E1,0910,E1_0910,C:/R Projects/football-data/raw_data/E1_0910.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0910/E2.csv,E2,0910,E2_0910,C:/R Projects/football-data/raw_data/E2_0910.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0910/E3.csv,E3,0910,E3_0910,C:/R Projects/football-data/raw_data/E3_0910.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0910/EC.csv,EC,0910,EC_0910,C:/R Projects/football-data/raw_data/EC_0910.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0809/E0.csv,E0,0809,E0_0809,C:/R Projects/football-data/raw_data/E0_0809.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0809/E1.csv,E1,0809,E1_0809,C:/R Projects/football-data/raw_data/E1_0809.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0809/E2.csv,E2,0809,E2_0809,C:/R Projects/football-data/raw_data/E2_0809.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0809/E3.csv,E3,0809,E3_0809,C:/R Projects/football-data/raw_data/E3_0809.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0809/EC.csv,EC,0809,EC_0809,C:/R Projects/football-data/raw_data/EC_0809.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0708/E0.csv,E0,0708,E0_0708,C:/R Projects/football-data/raw_data/E0_0708.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0708/E1.csv,E1,0708,E1_0708,C:/R Projects/football-data/raw_data/E1_0708.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0708/E2.csv,E2,0708,E2_0708,C:/R Projects/football-data/raw_data/E2_0708.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0708/E3.csv,E3,0708,E3_0708,C:/R Projects/football-data/raw_data/E3_0708.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0708/EC.csv,EC,0708,EC_0708,C:/R Projects/football-data/raw_data/EC_0708.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0607/E0.csv,E0,0607,E0_0607,C:/R Projects/football-data/raw_data/E0_0607.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0607/E1.csv,E1,0607,E1_0607,C:/R Projects/football-data/raw_data/E1_0607.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0607/E2.csv,E2,0607,E2_0607,C:/R Projects/football-data/raw_data/E2_0607.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0607/E3.csv,E3,0607,E3_0607,C:/R Projects/football-data/raw_data/E3_0607.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0607/EC.csv,EC,0607,EC_0607,C:/R Projects/football-data/raw_data/EC_0607.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0506/E0.csv,E0,0506,E0_0506,C:/R Projects/football-data/raw_data/E0_0506.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0506/E1.csv,E1,0506,E1_0506,C:/R Projects/football-data/raw_data/E1_0506.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0506/E2.csv,E2,0506,E2_0506,C:/R Projects/football-data/raw_data/E2_0506.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0506/E3.csv,E3,0506,E3_0506,C:/R Projects/football-data/raw_data/E3_0506.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/0506/EC.csv,EC,0506,EC_0506,C:/R Projects/football-data/raw_data/EC_0506.csv
